trade_dt,600000.SH,000002.SZ,600002.SH,000004.SZ,600004.SH,000006.SZ,600006.SH,000008.SZ,600008.SH,000010.SZ,600010.SH,000012.SZ,600012.SH,000014.SZ,600014.SH,000016.SZ,600016.SH,000018.SZ,600018.SH,000020.SZ,600020.SH,000022.SZ,600022.SH,000024.SZ,920819.BJ,
2024/10/20,-1.266444892,-1.722266126,0.424008803,-0.16206361,0.085868302,0.340990317,-0.05062313,-0.682121085,0.163545138,0.269575738,0.42054215,1.627570902,-0.577085916,0.049141762,0.465631358,-0.365513343,-0.98058546,-0.47030907,0.870582813,-0.188379231,0.487924891,-0.613954782,0.358551512,-0.543638815,-0.543638815,
2024/10/21,-0.708748602,0.123179842,0.004459107,1.193200926,-1.344588706,0.401550661,1.296858499,1.121635253,-0.319788899,-0.572358494,-0.418652257,0.24231286,0.211434718,0.272614523,0.508710495,-0.881775854,-0.939537302,-1.030065534,-1.112496627,-0.023541582,0.256979954,2.051762385,0.44946808,0.021615728,0.021615728,
2024/10/22,1.132620414,-0.563621395,0.221675338,0.751461666,0.658789389,0.278604788,-0.301567734,-1.045359144,-0.131737701,-0.506230533,0.543433738,-0.160208289,0.514184325,-1.335645477,0.797546428,-0.705053637,-1.276436689,-1.167314281,-0.521838396,0.956261013,0.593615586,-0.976521177,0.131255689,-0.061148725,-0.061148725,
2024/10/23,-1.309790957,-0.746411806,-1.7481698,-0.740354319,-2.17152327,-0.717863544,-0.761989431,-0.675977674,-0.65544258,0.90141457,-0.302481218,0.138572721,0.666350903,0.684691881,0.574847201,-0.455837994,-0.914123096,-0.703125115,-0.41144157,0.065747129,-0.064245795,0.877000871,-0.014917104,1.493273904,1.493273904,
2024/10/24,0.824051377,-0.31431928,0.633882578,-2.364524119,1.10643792,0.272378838,0.323572434,-1.399391975,2.082344882,-0.267939836,-0.14144538,0.880578843,-0.122382104,-0.774785799,0.567610957,-0.813135477,0.587519218,0.049511996,0.881470532,-0.933677893,1.046768186,0.234951328,1.68769983,-0.51389058,-0.51389058,
2024/10/25,1.467694759,0.662267433,0.583505484,-0.584690933,0.474395447,0.490733669,-0.662829941,-0.989323449,-0.590390989,1.153880058,0.13068335,0.738729139,0.281669825,0.045787496,0.197360893,-0.306654985,0.999802174,0.063240352,0.120619093,-1.066350941,0.282813546,-0.545756136,-0.324922167,0.852350045,0.852350045,
2024/10/26,-0.938463482,-0.054921985,0.445339698,0.947271958,-0.428222632,0.219950655,0.288981854,-0.992556424,-1.693194735,-1.601510555,0.482260409,0.048844666,-1.071123535,-0.588008205,-0.308139405,-0.250629587,-0.02162149,1.742951359,-0.698758467,0.160265049,-0.571310962,-0.484418806,-0.648833745,-0.149666161,-0.149666161,
2024/10/27,-0.487986089,0.396707407,0.142365201,-0.773801817,1.53208853,-0.983537906,0.341068098,1.685118149,-0.496533987,1.068421302,1.127264459,0.229096054,-1.469475395,1.131312644,0.055585668,-0.399878901,1.039093861,-0.687937906,0.807930874,-0.435917094,0.486262212,-0.818246773,-0.242212786,-0.693962192,-0.693962192,
2024/10/28,-0.605587483,0.271203594,-0.151914235,0.087823383,1.006222588,-0.104032745,-1.483232904,-0.331058817,0.176073609,0.847447341,0.800384271,0.713536677,-0.132390135,0.503614926,-1.211046798,1.115760955,0.365570444,0.321692565,-0.314008617,0.085167303,-0.481561459,0.545186353,-0.945189839,0.870551707,0.870551707,
2024/10/29,0.407385034,1.78043299,-0.04131474,-0.151973285,0.122051915,0.02562954,-0.050952104,-1.005224378,-0.775548206,-0.477885059,-0.264581137,-1.031255796,-0.888619616,-0.300946375,0.607313984,-0.129078178,0.545814372,0.714879589,0.612769428,-0.311413114,-0.308139855,-1.448401286,-0.412787462,0.473714662,0.473714662,
2024/10/30,-0.92992991,1.237222106,1.171422816,-0.389406534,0.704029701,-1.122849221,-0.835512707,-0.382954088,0.137637009,-0.136748168,-0.742865854,1.555858428,0.305602059,0.161800458,0.565280137,0.156439838,-0.197512544,-0.540808122,-1.336428052,1.252889402,-0.756074715,-1.289812398,-0.515216457,-1.234003355,-1.234003355,
2024/10/31,1.614604259,0.43852755,1.168335351,1.085959723,0.408198469,0.523808747,-0.596033845,-0.139302922,-0.360136102,0.041168051,-0.606852887,0.964073997,0.697349621,-0.182021332,-1.379903772,0.600628454,0.700677851,-0.182386961,-1.008327886,0.371153924,0.785782498,-1.496546342,0.626186716,-1.39961538,-1.39961538,
